{ 2 JetEta JetPt 0 None ScaleFactor }
-2.65 -2.5 285 300 3 1.82155 1.62155 2.02155
-2.65 -2.5 300 315 3 1.85395 1.65395 2.05395
-2.65 -2.5 315 330 3 1.8847 1.6847 2.0847
-2.65 -2.5 330 345 3 1.91384 1.71384 2.11384
-2.65 -2.5 345 360 3 1.94143 1.74143 2.14143
-2.65 -2.5 360 375 3 1.9675 1.7675 2.1675
-2.65 -2.5 375 390 3 1.99214 1.79214 2.19214
-2.65 -2.5 390 405 3 2.01541 1.81541 2.21541
-2.65 -2.5 405 420 3 2.03737 1.83737 2.23737
-2.65 -2.5 420 435 3 2.0581 1.8581 2.2581
-2.65 -2.5 435 450 3 2.07766 1.87766 2.27766
-2.65 -2.5 450 465 3 2.09611 1.89611 2.29611
-2.65 -2.5 465 480 3 2.11353 1.91353 2.31353
-2.65 -2.5 480 495 3 2.12998 1.92998 2.32998
-2.65 -2.5 495 7000 3 2.1455 1.9455 2.3455
-2.5 -2.322 0 15 3 1.17551 1 1.37551
-2.5 -2.322 15 20 3 1.17579 1 1.37579
-2.5 -2.322 20 25 3 1.17615 1 1.37615
-2.5 -2.322 25 30 3 1.17661 1 1.37661
-2.5 -2.322 30 35 3 1.17717 1 1.37717
-2.5 -2.322 35 40 3 1.17781 1 1.37781
-2.5 -2.322 40 45 3 1.17854 1 1.37854
-2.5 -2.322 45 50 3 1.17935 1 1.37935
-2.5 -2.322 50 55 3 1.18025 1 1.38025
-2.5 -2.322 55 60 3 1.18124 1 1.38124
-2.5 -2.322 60 65 3 1.1823 1 1.3823
-2.5 -2.322 65 70 3 1.18344 1 1.38344
-2.5 -2.322 70 75 3 1.18465 1 1.38465
-2.5 -2.322 75 80 3 1.18594 1 1.38594
-2.5 -2.322 80 85 3 1.18729 1 1.38729
-2.5 -2.322 85 90 3 1.18872 1 1.38872
-2.5 -2.322 90 95 3 1.1902 1 1.3902
-2.5 -2.322 95 100 3 1.19174 1 1.39174
-2.5 -2.322 100 105 3 1.19334 1 1.39334
-2.5 -2.322 105 120 3 1.19669 1 1.39669
-2.5 -2.322 120 135 3 1.20206 1.00206 1.40206
-2.5 -2.322 135 150 3 1.20777 1.00777 1.40777
-2.5 -2.322 150 165 3 1.21371 1.01371 1.41371
-2.5 -2.322 165 180 3 1.21983 1.01983 1.41983
-2.5 -2.322 180 195 3 1.22604 1.02604 1.42604
-2.5 -2.322 195 210 3 1.23228 1.03228 1.43228
-2.5 -2.322 210 225 3 1.2385 1.0385 1.4385
-2.5 -2.322 225 240 3 1.24465 1.04465 1.44465
-2.5 -2.322 240 255 3 1.25069 1.05069 1.45069
-2.5 -2.322 255 270 3 1.25658 1.05658 1.45658
-2.5 -2.322 270 285 3 1.26231 1.06231 1.46231
-2.5 -2.322 285 300 3 1.26786 1.06786 1.46786
-2.5 -2.322 300 315 3 1.27321 1.07321 1.47321
-2.5 -2.322 315 330 3 1.27836 1.07836 1.47836
-2.5 -2.322 330 345 3 1.28329 1.08329 1.48329
-2.5 -2.322 345 360 3 1.28801 1.08801 1.48801
-2.5 -2.322 360 375 3 1.29252 1.09252 1.49252
-2.5 -2.322 375 390 3 1.29682 1.09682 1.49682
-2.5 -2.322 390 405 3 1.30092 1.10092 1.50092
-2.5 -2.322 405 420 3 1.30482 1.10482 1.50482
-2.5 -2.322 420 435 3 1.30853 1.10853 1.50853
-2.5 -2.322 435 450 3 1.31206 1.11206 1.51206
-2.5 -2.322 450 465 3 1.3154 1.1154 1.5154
-2.5 -2.322 465 480 3 1.31858 1.11858 1.51858
-2.5 -2.322 480 495 3 1.3216 1.1216 1.5216
-2.5 -2.322 495 7000 3 1.32446 1.12446 1.52446
-2.322 -2.043 0 7000 3 1.1827 1.0517 1.3136
-2.043 -1.930 0 7000 3 1.1388 1.0984 1.1793
-1.930 -1.740 0 7000 3 1.1175 1.0778 1.1571
-1.740 -1.305 0 7000 3 1.1432 1.0771 1.2093
-1.305 -1.131 0 7000 3 1.1491 1.0815 1.2166
-1.131 -0.783 0 7000 3 1.1340 1.0810 1.1870
-0.783 -0.522 0 7000 3 1.1808 1.1640 1.1977
-0.522 -0.000 0 7000 3 1.1639 1.1327 1.1950
0.000 0.522 0 7000 3 1.1639 1.1327 1.1950
0.522 0.783 0 7000 3 1.1808 1.1640 1.1977
0.783 1.131 0 7000 3 1.1340 1.0810 1.1870
1.131 1.305 0 7000 3 1.1491 1.0815 1.2166
1.305 1.740 0 7000 3 1.1432 1.0771 1.2093
1.740 1.930 0 7000 3 1.1175 1.0778 1.1571
1.930 2.043 0 7000 3 1.1388 1.0984 1.1793
2.043 2.322 0 7000 3 1.1827 1.0517 1.3136
2.322 2.5 0 20 3 1.17566 1 1.37566
2.322 2.5 20 30 3 1.17642 1 1.37642
2.322 2.5 30 40 3 1.17754 1 1.37754
2.322 2.5 40 50 3 1.17902 1 1.37902
2.322 2.5 50 60 3 1.18083 1 1.38083
2.322 2.5 60 70 3 1.18297 1 1.38297
2.322 2.5 70 80 3 1.18542 1 1.38542
2.322 2.5 80 90 3 1.18814 1 1.38814
2.322 2.5 90 100 3 1.19112 1 1.39112
2.322 2.5 100 110 3 1.19433 1 1.39433
2.322 2.5 110 135 3 1.20023 1.00023 1.40023
2.322 2.5 135 160 3 1.20972 1.00972 1.40972
2.322 2.5 160 185 3 1.21983 1.01983 1.41983
2.322 2.5 185 210 3 1.2302 1.0302 1.4302
2.322 2.5 210 235 3 1.24056 1.04056 1.44056
2.322 2.5 235 260 3 1.25069 1.05069 1.45069
2.322 2.5 260 285 3 1.26042 1.06042 1.46042
2.322 2.5 285 310 3 1.26967 1.06967 1.46967
2.322 2.5 310 335 3 1.27836 1.07836 1.47836
2.322 2.5 335 360 3 1.28646 1.08646 1.48646
2.322 2.5 360 385 3 1.29398 1.09398 1.49398
2.322 2.5 385 410 3 1.30092 1.10092 1.50092
2.322 2.5 410 435 3 1.30732 1.10732 1.50732
2.322 2.5 435 460 3 1.31319 1.11319 1.51319
2.322 2.5 460 485 3 1.31858 1.11858 1.51858
2.322 2.5 485 7000 3 1.32352 1.12352 1.52352
2.5 2.65 0 20 3 1.15965 1 1.35965
2.5 2.65 20 30 3 1.16633 1 1.36633
2.5 2.65 30 40 3 1.1762 1 1.3762
2.5 2.65 40 50 3 1.18909 1 1.38909
2.5 2.65 50 60 3 1.20478 1.00478 1.40478
2.5 2.65 60 70 3 1.22303 1.02303 1.42303
2.5 2.65 70 80 3 1.24358 1.04358 1.44358
2.5 2.65 80 90 3 1.26613 1.06613 1.46613
2.5 2.65 90 100 3 1.2904 1.0904 1.4904
2.5 2.65 100 110 3 1.31612 1.11612 1.51612
2.5 2.65 110 135 3 1.36238 1.16238 1.56238
2.5 2.65 135 160 3 1.43402 1.23402 1.63402
2.5 2.65 160 185 3 1.50712 1.30712 1.70712
2.5 2.65 185 210 3 1.57924 1.37924 1.77924
2.5 2.65 210 235 3 1.64869 1.44869 1.84869
2.5 2.65 235 260 3 1.71439 1.51439 1.91439
2.5 2.65 260 285 3 1.77576 1.57576 1.97576
2.5 2.65 285 310 3 1.83253 1.63253 2.03253
2.5 2.65 310 335 3 1.8847 1.6847 2.0847
2.5 2.65 335 360 3 1.9324 1.7324 2.1324
2.5 2.65 360 385 3 1.97587 1.77587 2.17587
2.5 2.65 385 410 3 2.01541 1.81541 2.21541
2.5 2.65 410 435 3 2.05132 1.85132 2.25132
2.5 2.65 435 460 3 2.08393 1.88393 2.28393
2.5 2.65 460 485 3 2.11353 1.91353 2.31353
2.5 2.65 485 7000 3 2.14043 1.94043 2.34043
2.65 2.853 0 20 3 1.02787 1 1.22787
2.65 2.853 20 30 3 1.06595 1 1.26595
2.65 2.853 30 40 3 1.11904 1 1.31904
2.65 2.853 40 50 3 1.18343 1 1.38343
2.65 2.853 50 60 3 1.2555 1.0555 1.4555
2.65 2.853 60 70 3 1.33206 1.13206 1.53206
2.65 2.853 70 80 3 1.41048 1.21048 1.61048
2.65 2.853 80 90 3 1.48876 1.28876 1.68876
2.65 2.853 90 100 3 1.56541 1.36541 1.76541
2.65 2.853 100 110 3 1.63939 1.43939 1.83939
2.65 2.853 110 135 3 1.7572 1.5572 1.9572
2.65 2.853 135 160 3 1.90974 1.70974 2.10974
2.65 2.853 160 185 3 2.0376 1.8376 2.2376
2.65 2.853 185 210 3 2.14327 1.94327 2.34327
2.65 2.853 210 235 3 2.23013 2.03013 2.43013
2.65 2.853 235 260 3 2.30154 2.10154 2.50154
2.65 2.853 260 285 3 2.36043 2.16043 2.56043
2.65 2.853 285 310 3 2.40925 2.20925 2.60925
2.65 2.853 310 335 3 2.44996 2.24996 2.64996
2.65 2.853 335 360 3 2.48413 2.28413 2.68413
2.65 2.853 360 385 3 2.51299 2.31299 2.71299
2.65 2.853 385 410 3 2.53755 2.33755 2.73755
2.65 2.853 410 435 3 2.55856 2.35856 2.75856
2.65 2.853 435 460 3 2.57666 2.37666 2.77666
2.65 2.853 460 485 3 2.59234 2.39234 2.79234
2.65 2.853 485 7000 3 2.60599 2.40599 2.80599
2.853 2.964 0 20 3 1.08187 1 1.28187
2.853 2.964 20 30 3 1.11605 1 1.31605
2.853 2.964 30 40 3 1.16399 1 1.36399
2.853 2.964 40 50 3 1.22254 1.02254 1.42254
2.853 2.964 50 60 3 1.28851 1.08851 1.48851
2.853 2.964 60 70 3 1.35901 1.15901 1.55901
2.853 2.964 70 80 3 1.43164 1.23164 1.63164
2.853 2.964 80 90 3 1.50448 1.30448 1.70448
2.853 2.964 90 100 3 1.5761 1.3761 1.7761
2.853 2.964 100 110 3 1.64545 1.44545 1.84545
2.853 2.964 110 135 3 1.7563 1.5563 1.9563
2.853 2.964 135 160 3 1.90045 1.70045 2.10045
2.853 2.964 160 185 3 2.02171 1.82171 2.22171
2.853 2.964 185 210 3 2.12218 1.92218 2.32218
2.853 2.964 210 235 3 2.20491 2.00491 2.40491
2.853 2.964 235 260 3 2.27301 2.07301 2.47301
2.853 2.964 260 285 3 2.32923 2.12923 2.52923
2.853 2.964 285 310 3 2.37586 2.17586 2.57586
2.853 2.964 310 335 3 2.41478 2.21478 2.61478
2.853 2.964 335 360 3 2.44745 2.24745 2.64745
2.853 2.964 360 385 3 2.47507 2.27507 2.67507
2.853 2.964 385 410 3 2.49856 2.29856 2.69856
2.853 2.964 410 435 3 2.51868 2.31868 2.71868
2.853 2.964 435 460 3 2.536 2.336 2.736
2.853 2.964 460 485 3 2.55101 2.35101 2.75101
2.853 2.964 485 7000 3 2.56409 2.36409 2.76409
2.964 3.139 0 7000 3 1.2063 1.1245 1.2880
3.139 5.191 0 7000 3 1.0760 1.0 1.2252
